origin,population
Canada,2065
Canada,0
Canada,1845
Canada,10
United States,85
Canada,3235
Canada,0
Canada,0
Canada,0
Canada,0
Canada,0
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,3550
Ireland,2270
United Kingdom,0
United Kingdom,2935
United Kingdom,190
"British Isles origins, n.o.c",150
France,0
France,0
France,0
France,1620
Austria,125
Germany,0
Belgium,255
Netherlands,610
Belgium,20
Netherlands,0
Germany,2035
Luxembourg,0
Switzerland,40
Denmark,90
Finland,50
Iceland,255
Norway,230
Sweden,205
"Northern European origins, n.o.c ",45
Bulgaria,0
Belarus,0
Czech Republic,15
"Czechoslovakian, n.o.c",25
Estonia,0
Hungary,85
Latvia,0
Lithuania,0
Moldova,0
Poland,570
Romania,25
Russia,375
Slovakia,0
Ukraine,1535
"Eastern European origins, n.o.c",15
Albania,0
Bosnia,0
Spain,0
Croatia,10
Cyprus,0
Greece,15
Italy,75
Kosovo,0
North Macedonia,0
Malta,0
Montenegro,0
Portugal,15
Serbia,0
Italy,0
Slovenia,0
Spain,55
"Yugoslavian, n.o.c",0
"Southern European origins, n.o.c",0
Spain,0
Israel,50
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",35
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,10
Guadeloupe,0
Haiti,0
Jamaica,0
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,15
Saint Vincent and the Grenadines,0
"West India, n.o.c",30
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,10
Belize,0
Bolivia,0
Brazil,0
Chile,10
Colombia,0
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,0
Hispanic,0
Honduras,0
Maya,0
Mexico,80
Nicaragua,0
Panama,0
Paraguay,0
Peru,10
El Salvador,15
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",15
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,10
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,10
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",10
"Other African origins, n.o.c",15
Afghanistan,0
"Arab, n.o.c",0
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,10
Iraq,0
Israel,10
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,0
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,195
India,0
India,0
India,0
Nepal,0
Pakistan,15
India,0
Sri Lanka,0
Sri Lanka,10
India,0
"South Asian origins, n.o.c",15
Myanmar (Burma),0
Cambodia,0
China,40
Philippines,245
Hmong,0
Indonesia,10
Japan,10
Karen,0
South Korea,45
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,10
China,0
Vietnam,0
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,0
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































