Cuisine Type,Name,Address,Website
Mexican,The Mexican Antojitos y Cantina,"1049 Granville St, Vancouver, BC V6Z 1L4, Canada",http://www.themexican.ca/
Mexican,La Mezcaleria,"1622 Commercial Dr, Vancouver, BC V5L 3Y4, Canada",http://www.lamezcaleria.ca/
Mexican,La Casita - Gastown,"101 W Cordova St, Vancouver, BC V6B 1E1, Canada",http://www.lacasita.ca/
Mexican,Patron Tacos & Cantina,"265 Robson St, Vancouver, BC V6B 0E7, Canada",https://www.patrontc.com/
Mexican,Las Margaritas,"1999 W 4th Ave, Vancouver, BC V6J 1M7, Canada",http://www.lasmargaritas.com/
Mexican,Sal y Limon,"701 Kingsway #5, Vancouver, BC V5T 3K6, Canada",https://www.salylimon.ca/
Mexican,Mi Casa Mexicana,"2015 Burrard St, Vancouver, BC V6J 3H4, Canada",http://www.micasamexicana.net/
Mexican,El Camino's,"3250 Main St, Vancouver, BC V5V 3M6, Canada",http://www.elcaminos.ca/
Mexican,Alimentaria Mexicana,"1596 Johnston St, Vancouver, BC V6H 3R9, Canada",https://www.alimentariamexicana.com/
Mexican,Los Cuervos Taqueria & Cantina,"LOS CUERVOS, 603 Kingsway, Vancouver, BC V5T 3K5, Canada",https://www.loscuervostaqueria.net/
Mexican,Gringo Gastown,"27 Blood Alley Square, Vancouver, BC V6B 0C4, Canada",http://www.gringorestaurants.com/
Mexican,Tequila Cocina,"1224 Granville St, Vancouver, BC V6Z 1M4, Canada",http://tequilacocina.ca/
Mexican,Los Amigos Taqueria,"1118 Davie St, Vancouver, BC V6E 1N1, Canada",http://www.losamigostacos.com/
Mexican,Holy Guacamole,"805 Denman St, Vancouver, BC V6G 2L7, Canada",https://holyguacamolegrill.ca/?utm_source=google&utm_medium=maps&utm_campaign=website
Mexican,Lucha Libre Taqueria,"722 Nelson St, Vancouver, BC V6Z 1A8, Canada",https://luchalibretacos.com/
Mexican,Chancho Tortilleria,"2096 Commercial Dr, Vancouver, BC V5N 4B2, Canada",http://www.chancho.ca/
Mexican,Chipotle Mexican Grill,"818 Howe St, Vancouver, BC V6Z 1N4, Canada",https://locations.chipotle.ca/bc/vancouver/818-howe-st?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Adelitas Restaurant,"5178 Victoria Dr, Vancouver, BC V5P 3T8, Canada",https://www.facebook.com/adelitasrestaurant.van/
Mexican,Maizal RMF,"2815 Main St, Vancouver, BC V5T 3G1, Canada",https://maizalmsf.ca/
Mexican,El Guapo Restaurant,"1009 Hamilton St, Vancouver, BC V6B 5T4, Canada",https://elguapo.ca/
Swedish,Published on Main,"3593 Main St, Vancouver, BC V5V 3N4, Canada",http://www.publishedonmain.com/
Latvian,Ukrainian Village,"815 Denman St, Vancouver, BC V6G 2L7, Canada",https://ukrainianvillage.wixsite.com/canada
Italian,Ask For Luigi Restaurant,"305 Alexander St, Vancouver, BC V6A 1C4, Canada",http://www.askforluigi.com/
Italian,CinCin Ristorante + Bar,"1154 Robson St, Vancouver, BC V6E 1B2, Canada",http://cincin.net/
Italian,La Quercia,"3689 W 4th Ave, Vancouver, BC V6R 1P2, Canada",http://laquercia.ca/
Italian,La Terrazza,"1088 Cambie St, Vancouver, BC V6B 6J5, Canada",http://www.laterrazza.ca/
Italian,Italian Kitchen,"860 Burrard St, Vancouver, BC V6Z 1X9, Canada",https://www.glowbalgroup.com/italiankitchen/
Italian,Tavola,"1829 Robson St, Vancouver, BC V6G 1E4, Canada",https://tavolavancouver.com/
Italian,Zefferelli's Spaghetti Joint,"1136 Robson St 2nd Floor, Vancouver, BC V6E 1B2, Canada",http://zefferellis.com/
Italian,Osteria Savio Volpe,"615 Kingsway, Vancouver, BC V5T 3K5, Canada",http://www.saviovolpe.com/
Italian,Frankie's Italian Vancouver,"765 Beatty St, Vancouver, BC V6B 2M4, Canada",https://www.frankiesitaliankitchen.ca/
Italian,Pepino's Spaghetti House,"631 Commercial Dr, Vancouver, BC V5L 3W3, Canada",http://pepinos.ca/
Italian,Al Porto Ristorante,"321 Water St, Vancouver, BC V6B 1B8, Canada",https://alporto.ca/
Italian,Robba da Matti,"1906 Haro St, Vancouver, BC V6G 1H7, Canada",https://robbadamatti.com/
Italian,Robba da Matti (Yaletown),"1127 Mainland St, Vancouver, BC V6B 5P2, Canada",https://www.robbadamatti.com/
